True Character,True Label,Predicted Character,Predicted Label,Confidence
ஜ்,149,ஜ,148,1.000
ழீ,113,ழி,112,1.000
ஜி,150,ஜ,148,1.000
ண்,44,ண,45,1.000
வ்,104,வ,105,1.000
ஙு,30,ங,27,1.000
ஸ்,138,ஸ,137,0.999
ஜூ,130,ஜ,148,0.999
ஷு,123,ஷூ,124,0.999
ஞீ,35,ஞ்,32,0.999
ஞி,34,ஞீ,35,0.999
ட்,38,ட,39,0.999
ஙு,30,ங,27,0.998
ஜீ,151,ஜி,150,0.998
யூ,79,யு,78,0.997
ங்,26,ங,27,0.997
ஙு,30,ங,27,0.997
றூ,103,லூ,91,0.997
ஜு,129,ஜீ,151,0.997
ஷி,121,ஹி,133,0.997
ஜூ,130,ஜீ,151,0.996
ல்,86,லீ,89,0.996
ஷி,121,ஷ,143,0.996
ஜு,129,ஜீ,151,0.996
ஜு,129,ஜீ,151,0.995
க்ஷீ,128,க்ஷூ,147,0.995
ன்,116,ன,117,0.994
ஞீ,35,ஞ்,32,0.993
ஹூ,136,ஹு,135,0.993
ர,81,ஏ,8,0.993
ய,75,யு,78,0.992
ஞு,36,நு,60,0.992
ஜு,129,ஜி,150,0.992
யீ,77,ய்,74,0.992
றி,100,ளி,94,0.991
ஹ்,132,ஹ,131,0.991
ஸ்ரீ,146,ஞீ,35,0.991
மூ,73,மு,72,0.990
ஜு,129,ஜீ,151,0.989
ஹீ,134,ஹி,133,0.989
க்ஷ்,126,ஷ்,144,0.989
தீ,53,த்,50,0.989
ளூ,97,ளு,96,0.989
வு,108,அ,1,0.989
க்ஷீ,128,க்ஷ,125,0.988
ஓ,11,ஒ,10,0.988
ஸு,141,ஸீ,140,0.988
த்,50,க்,14,0.988
ணி,46,னி,118,0.988
கு,18,டு,42,0.987
வ,105,ல,87,0.987
சூ,25,ஞ,33,0.986
ஜு,129,ஜீ,151,0.985
லீ,89,ல்,86,0.984
ளூ,97,ளு,96,0.984
சீ,23,சி,22,0.984
தீ,53,த்,50,0.983
எ,7,ெ,153,0.983
ஙூ,31,நு,60,0.983
ழூ,115,மூ,73,0.983
தீ,53,த்,50,0.983
நி,58,தி,52,0.982
து,54,நு,60,0.982
ட்,38,டீ,41,0.982
ஷு,123,ஷ்,144,0.980
ஏ,8,ர்,80,0.980
ஸூ,142,ஸு,141,0.980
ஹு,135,ஹீ,134,0.979
ஒ,10,ஓ,11,0.979
ங,27,ஙு,30,0.979
கு,18,டு,42,0.978
னூ,145,ணூ,49,0.976
ரு,84,ரூ,85,0.975
மூ,73,ழூ,115,0.974
னீ,119,ளீ,95,0.973
ஜூ,130,ஜு,129,0.972
க்ஷ்,126,க்ஷ,125,0.972
ஞு,36,நு,60,0.972
க்ஷு,152,க்ஷீ,128,0.972
ஜூ,130,ஜீ,151,0.972
க்ஷூ,147,ஷூ,124,0.972
வி,106,வீ,107,0.971
ஜு,129,ஜீ,151,0.971
ஹூ,136,ஹு,135,0.971
ளூ,97,ளு,96,0.970
சீ,23,சி,22,0.969
ச,21,சீ,23,0.969
ஹ,131,ஷ,143,0.969
மூ,73,மு,72,0.969
ளூ,97,ளு,96,0.968
க்ஷ்,126,க்ஷ,125,0.968
ஙூ,31,நு,60,0.967
ஜு,129,ஜீ,151,0.966
ளூ,97,ளு,96,0.966
ா,0,எ,7,0.965
ஒ,10,ஓ,11,0.964
னூ,145,றூ,103,0.964
ணு,48,னு,120,0.963
ளூ,97,ளு,96,0.963
ஞூ,37,தூ,55,0.962
கி,16,க,15,0.962
ஹூ,136,ஹி,133,0.961
யி,76,யு,78,0.961
ஒ,10,ஓ,11,0.961
ஜு,129,ஜீ,151,0.961
ஓ,11,ஒ,10,0.961
ஹ்,132,ஷ்,144,0.961
மூ,73,மு,72,0.960
இ,3,ஷ,143,0.959
ன,117,ை,155,0.958
ஷ்,144,ஹ்,132,0.958
டி,40,டீ,41,0.958
ங,27,ங்,26,0.958
ஒ,10,ஓ,11,0.957
ஒ,10,ஓ,11,0.957
னூ,145,ஞூ,37,0.957
உ,5,ட,39,0.956
கி,16,சி,22,0.956
ஸூ,142,ஸு,141,0.956
ஜூ,130,ஜு,129,0.955
ஷீ,122,ஹீ,134,0.955
க,15,ே,154,0.954
ஐ,9,ஜ,148,0.954
ஞீ,35,ஞி,34,0.953
ஜி,150,ஜீ,151,0.953
யீ,77,யி,76,0.953
ல்,86,ல,87,0.952
ளூ,97,ளு,96,0.951
ஹு,135,ஹீ,134,0.951
ஜ்,149,ற்,98,0.950
ழூ,115,ழு,114,0.950
ஷ்,144,ஜ்,149,0.950
ங,27,நு,60,0.949
நி,58,றி,100,0.949
க்ஷீ,128,க்ஷு,152,0.947
ச,21,சு,24,0.947
ஞீ,35,ஞ்,32,0.947
ஸி,139,ஸீ,140,0.946
ளூ,97,ளு,96,0.946
ணு,48,னு,120,0.945
ழ்,110,ழீ,113,0.945
க்ஷு,152,க்ஷூ,147,0.944
ஜி,150,றி,100,0.944
மி,70,பி,64,0.944
ளி,94,னி,118,0.944
ஹ்,132,ஹ,131,0.944
ஹ்,132,ஹ,131,0.943
த்,50,க்,14,0.943
ஜு,129,ஜீ,151,0.943
ணூ,49,னூ,145,0.943
றீ,101,ற்,98,0.943
ழு,114,மு,72,0.941
ன,117,ை,155,0.941
நி,58,ரி,82,0.940
ளீ,95,ளி,94,0.939
மு,72,ழு,114,0.939
ணி,46,ண,45,0.939
ளூ,97,ளு,96,0.938
ஹ்,132,ஹ,131,0.937
ரு,84,ரூ,85,0.937
ஹூ,136,ஹு,135,0.937
ஒ,10,ஓ,11,0.936
ன,117,ை,155,0.936
ஐ,9,ஜ,148,0.934
நீ,59,தீ,53,0.932
ஷு,123,ஷீ,122,0.930
ணு,48,னு,120,0.930
ஹி,133,ஷி,121,0.930
மு,72,ழு,114,0.929
மூ,73,மு,72,0.928
ஷு,123,ஷீ,122,0.928
ஜீ,151,ஜு,129,0.928
ரீ,83,பீ,65,0.926
ஜூ,130,ஜீ,151,0.925
சு,24,த,51,0.925
ஜு,129,ஜீ,151,0.924
கீ,17,தீ,53,0.923
சீ,23,மூ,73,0.922
ஷு,123,ஷீ,122,0.921
யூ,79,யு,78,0.920
ஹு,135,ஹூ,136,0.920
ஷு,123,ஷீ,122,0.920
சீ,23,ச்,20,0.919
ளூ,97,ளு,96,0.919
ணி,46,ஸி,139,0.918
ஔ,12,லூ,91,0.918
ல்,86,லீ,89,0.917
ஜு,129,ஜீ,151,0.916
ஹு,135,ஹீ,134,0.915
ஷீ,122,வீ,107,0.915
ஞ,33,ஏ,8,0.914
ஞூ,37,நூ,61,0.914
ஷ,143,ஷி,121,0.914
ஜ்,149,ஜீ,151,0.912
ழூ,115,மூ,73,0.911
